,0,1,2,3,4,5,6,7,8
2071,usf3002_LMLO_L1_MS_B.jpg,0.37772,1.0,0.886816,0.352341,0.311649,0.301321,0.29902,0.251158
428,usf0284_RCC_L1_MS_B.jpg,0.204718,1.0,0.810684,0.179084,0.15188,0.126069,0.135768,0.0777808
636,usf0390_RMLO_L1_MS_B.jpg,0.253209,1.0,0.833994,0.203478,0.177944,0.150994,0.152138,0.100072
1457,usf1614_RMLO_L1_CL_M.jpg,0.164182,1.0,0.634029,0.223413,0.0830113,0.109053,0.121355,0.0453459
2316,usf3362_RCC_L1_CL_B.jpg,0.183189,1.0,0.791787,0.171368,0.14657,0.12569,0.124021,0.0743502
248,usf0166_RMLO_L1_MS_M.jpg,0.324836,1.0,0.820947,0.176822,0.152088,0.140111,0.139097,0.0743487
1,usf0001_RMLO_L1_MS_M.jpg,0.223004,1.0,0.795892,0.159351,0.131691,0.122753,0.114416,0.0597414
2882,usf4195_LCC_L1_CL_B.jpg,0.236619,1.0,0.688464,0.224327,0.089577,0.109145,0.117732,0.0510536
547,usf0355_LMLO_L1_CL_B.jpg,0.196254,1.0,0.793007,0.183994,0.135441,0.122687,0.13284,0.0686119
1564,usf1684_LCC_L1_CL_B.jpg,0.159367,1.0,0.585117,0.359587,0.0934464,0.132645,0.133043,0.0874371
1682,usf1754_LCC_L1_MS_B.jpg,0.234271,1.0,0.799645,0.147799,0.114934,0.117762,0.112594,0.0380561
235,usf0158_LMLO_L1_MS_M.jpg,0.182471,1.0,0.76993,0.232316,0.168581,0.158015,0.173222,0.107764
89,usf0062_LCC_L2_MS_M.jpg,0.190538,1.0,0.775665,0.19173,0.139218,0.125007,0.130801,0.0782576
2234,usf3077_RMLO_L2_CL_M.jpg,0.239653,1.0,0.828588,0.204314,0.179086,0.16427,0.166976,0.102037
2608,usf4032_RCC_L1_MS_M.jpg,0.211664,1.0,0.667309,0.211277,0.0813994,0.107097,0.112469,0.0473808
29,usf0017_LMLO_L1_MS_M.jpg,0.341886,1.0,0.838418,0.190735,0.157882,0.143335,0.147591,0.0806011
218,usf0150_LMLO_L2_CL_M.jpg,0.150967,1.0,0.759975,0.2079,0.143873,0.131062,0.141778,0.0862274
2239,usf3079_RCC_L1_CL_M.jpg,0.531273,1.0,0.883707,0.494255,0.484297,0.473051,0.475367,0.43844
1488,usf1632_RCC_L1_CL_M.jpg,0.185253,1.0,0.574093,0.307752,0.104074,0.130294,0.145053,0.0875949
1142,usf1433_RCC_L1_CL_B.jpg,0.192742,1.0,0.702799,0.241864,0.0960205,0.117385,0.124086,0.049375
2392,usf3418_LMLO_L1_CL_B.jpg,0.215599,1.0,0.821675,0.175341,0.147373,0.127316,0.130505,0.0694315
1784,usf1805_LCC_L1_MS_B.jpg,0.498685,1.0,0.85647,0.463605,0.442407,0.433612,0.424879,0.381974
579,usf0374_RCC_L1_MS_B.jpg,0.236485,1.0,0.832739,0.211105,0.194027,0.171466,0.174858,0.11806
2226,usf3075_RMLO_L3_CL_M.jpg,0.169595,1.0,0.792807,0.171247,0.136535,0.130922,0.123411,0.0621177
3003,mdb270_113.png,0.163679,0.918172,1.0,0.234734,0.222561,0.209645,0.203693,0.122202
3431,5215722.jpg,0.181385,1.0,0.761802,0.406599,0.264624,0.328397,0.279228,0.150079
2199,usf3063_RCC_L1_MS_M.jpg,0.209699,1.0,0.801936,0.166099,0.145465,0.123496,0.129186,0.0693112
2584,usf4020_RMLO_L1_MS_B.jpg,0.23013,1.0,0.54138,0.304001,0.067311,0.102686,0.101484,0.0742637
1372,usf1562_LMLO_L1_CL_B.jpg,0.188759,1.0,0.681688,0.19837,0.0873613,0.120381,0.103796,0.0407583
291,usf0192_RCC_L1_MS_M.jpg,0.178905,1.0,0.79788,0.184547,0.147405,0.126427,0.138922,0.0767362
2621,usf4039_LCC_L1_MS_B.jpg,0.238692,1.0,0.697425,0.284452,0.0943524,0.118265,0.126187,0.0675425
824,usf1144_RCC_L1_MS_M.jpg,0.22801,1.0,0.663172,0.199197,0.0829469,0.105212,0.105524,0.0491836
1895,usf1869_LCC_L1_MS_B.jpg,0.215883,1.0,0.704399,0.173675,0.0872578,0.106162,0.112415,0.0370674
232,usf0157_LMLO_L1_MS_M.jpg,0.218605,1.0,0.807632,0.21214,0.164774,0.136849,0.143958,0.0957896
1512,usf1647_LMLO_L1_CL_B.jpg,0.2221,1.0,0.703068,0.235158,0.0957187,0.118413,0.122966,0.0520197
1010,usf1357_RMLO_L1_MS_B.jpg,0.218712,1.0,0.676737,0.215271,0.0861944,0.109268,0.110737,0.0498569
2928,mdb115_37.png,0.291554,0.9199,1.0,0.180808,0.2054,0.205081,0.158327,0.0741688
3054,4150133.jpg,0.096106,1.0,0.774191,0.249433,0.163754,0.148887,0.206539,0.0371218
283,usf0187_LMLO_L1_MS_M.jpg,0.151916,1.0,0.746071,0.210698,0.129528,0.125456,0.135055,0.0735393
363,usf0231_LMLO_L1_CL_B.jpg,0.161255,1.0,0.777492,0.185009,0.136497,0.125012,0.130834,0.0698653
1128,usf1424_RCC_L1_MS_B.jpg,0.226515,1.0,0.776808,0.168951,0.111213,0.117714,0.1153,0.0394954
2810,usf4140_LCC_L1_MS_M.jpg,0.228335,1.0,0.736405,0.156827,0.0954206,0.107014,0.109181,0.03919
2358,usf3391_RCC_L1_MS_B.jpg,0.184431,1.0,0.81025,0.182416,0.15049,0.126486,0.136213,0.0752568
3280,5182421.jpg,0.0539155,1.0,0.817207,0.251061,0.186586,0.192529,0.181289,0.0588557
822,usf1143_LCC_L1_MS_M.jpg,0.503096,1.0,0.883665,0.451178,0.436622,0.437897,0.429749,0.374237
2421,usf3441_RCC_L1_CL_M.jpg,0.256458,1.0,0.828672,0.156125,0.133434,0.119196,0.121815,0.0570313
1390,usf1574_RCC_L1_MS_M.jpg,0.201235,1.0,0.74175,0.160847,0.0994315,0.111212,0.112067,0.0382464
47,usf0027_LMLO_L1_MS_M.jpg,0.18734,1.0,0.743353,0.206054,0.127981,0.120267,0.130263,0.076301
2803,usf4135_RCC_L1_MS_M.jpg,0.216225,1.0,0.708569,0.179948,0.0885608,0.107639,0.113344,0.042199
942,usf1227_LMLO_L1_CL_M.jpg,0.202477,1.0,0.794057,0.154314,0.115244,0.121269,0.111908,0.0336196
2304,usf3356_RCC_L1_MS_B.jpg,0.184878,1.0,0.777469,0.168041,0.133287,0.116106,0.126199,0.0655705
2222,usf3075_RCC_L2_CL_M.jpg,0.176783,1.0,0.787047,0.176081,0.141819,0.129203,0.128222,0.068126
2690,usf4075_LMLO_L1_MS_B.jpg,0.223793,1.0,0.717864,0.237448,0.0960319,0.116866,0.127623,0.0500421
674,usf0411_LCC_L1_CL_B.jpg,0.350362,1.0,0.833025,0.355631,0.3339,0.311833,0.321744,0.272264
2694,usf4078_LCC_L1_MS_B.jpg,0.204955,1.0,0.57879,0.240437,0.069407,0.100931,0.101712,0.0540712
2611,usf4033_LMLO_L1_MS_B.jpg,0.187329,1.0,0.68517,0.236435,0.0882681,0.117799,0.120845,0.0488418
787,usf1124_LCC_L1_CL_M.jpg,0.208526,1.0,0.780059,0.137862,0.126846,0.122151,0.1217,0.0333037
2420,usf3440_RMLO_L1_CL_M.jpg,0.142731,1.0,0.791265,0.181953,0.145783,0.131254,0.135698,0.0726747
899,usf1191_LMLO_L1_CL_M.jpg,0.18662,1.0,0.687095,0.268007,0.102746,0.132461,0.123432,0.057835
3197,5154525.jpg,0.076147,1.0,0.896082,0.236787,0.256064,0.213713,0.211476,0.0517403
1209,usf1470_LCC_L2_MS_B.jpg,0.175664,1.0,0.647624,0.289733,0.0935514,0.131277,0.118487,0.0616856
671,usf0409_RCC_L1_CL_B.jpg,0.500847,1.0,0.884697,0.503454,0.489243,0.477547,0.482244,0.43822
2110,usf3021_LMLO_L3_MS_M.jpg,0.183013,1.0,0.789729,0.157453,0.137309,0.114034,0.126876,0.0607281
2326,usf3364_RMLO_L1_CL_B.jpg,0.191371,1.0,0.817378,0.167128,0.13939,0.125896,0.124032,0.0608267
1875,usf1858_RCC_L1_MS_B.jpg,0.214418,1.0,0.713467,0.164831,0.0907812,0.10461,0.113076,0.0362897
1818,usf1823_RMLO_L1_MS_M.jpg,0.194162,1.0,0.63792,0.277222,0.0893581,0.115116,0.120949,0.0584104
3274,5181753.jpg,0.219371,1.0,0.834811,0.454006,0.3187,0.36556,0.361514,0.211756
807,usf1134_RCC_L1_MS_M.jpg,0.219904,1.0,0.787378,0.137745,0.113381,0.110872,0.117336,0.0351722
1603,usf1711_LMLO_L1_MS_B.jpg,0.173104,1.0,0.544154,0.390167,0.0866874,0.131741,0.128217,0.090853
2521,usf3509_LCC_L2_CL_M.jpg,0.212567,1.0,0.780867,0.173488,0.135735,0.119192,0.123575,0.0695074
2332,usf3367_LMLO_L1_CL_B.jpg,0.187794,1.0,0.746924,0.176449,0.125515,0.110778,0.128258,0.0661233
2789,usf4126_RMLO_L1_MS_M.jpg,0.239093,1.0,0.697199,0.172022,0.0873199,0.109248,0.105611,0.0423342
2040,usf1949_RCC_L1_CL_B.jpg,0.200204,1.0,0.734405,0.183678,0.104321,0.110753,0.120085,0.0390566
2544,usf4000_LMLO_L1_MS_B.jpg,0.240479,1.0,0.703865,0.258906,0.0951235,0.1221,0.117664,0.0602726
3100,4160425.jpg,0.0647126,1.0,0.855998,0.269553,0.215461,0.180314,0.263367,0.0432275
835,usf1149_LMLO_L1_MS_M.jpg,0.214974,1.0,0.707607,0.180755,0.0892929,0.111724,0.106022,0.0428852
1410,usf1585_RCC_L1_CL_M.jpg,0.170466,1.0,0.671321,0.275446,0.0953326,0.122639,0.130181,0.0587898
1877,usf1859_RCC_L1_CL_B.jpg,0.205012,1.0,0.682168,0.183851,0.0838959,0.102731,0.112699,0.0393896
1011,usf1361_LCC_L1_MS_B.jpg,0.243269,1.0,0.73774,0.223027,0.107767,0.130004,0.119607,0.0515707
2647,usf4053_LMLO_L1_CL_M.jpg,0.194984,1.0,0.681136,0.332056,0.104456,0.134988,0.143429,0.0752829
1879,usf1860_LCC_L1_MS_B.jpg,0.203407,1.0,0.697831,0.177011,0.0907852,0.109853,0.105521,0.0445691
2124,usf3026_RCC_L2_CL_M.jpg,0.238924,1.0,0.787732,0.146,0.126967,0.111379,0.116351,0.0542603
1562,usf1683_RCC_L1_MS_B.jpg,0.466043,1.0,0.86104,0.404789,0.402486,0.389666,0.395669,0.338042
3079,4153315.jpg,0.292513,1.0,0.911499,0.490899,0.405676,0.383889,0.477679,0.267814
368,usf0234_RCC_L1_MS_B.jpg,0.264698,1.0,0.831884,0.200518,0.164831,0.137119,0.136711,0.0924337
698,usf0473_RMLO_L1_CL_B.jpg,0.144999,1.0,0.713691,0.222348,0.11817,0.13263,0.123081,0.0666151
395,usf0271_LCC_L1_CL_B.jpg,0.206765,1.0,0.800864,0.188242,0.150872,0.125148,0.134591,0.0809044
1406,usf1583_RCC_L1_MS_M.jpg,0.138093,1.0,0.522468,0.285813,0.0693159,0.109269,0.114024,0.0558216
1226,usf1478_LCC_L1_MS_B.jpg,0.24566,1.0,0.674766,0.316009,0.176207,0.192895,0.184228,0.134933
3186,5120119.jpg,0.301311,1.0,0.876881,0.39354,0.396127,0.407053,0.334945,0.235216
1158,usf1440_RCC_L1_MS_B.jpg,0.184689,1.0,0.523482,0.31576,0.0745411,0.104408,0.103386,0.0715468
868,usf1169_LMLO_L1_MS_M.jpg,0.16723,1.0,0.58169,0.310316,0.0839331,0.121214,0.117821,0.0667574
1222,usf1476_LCC_L1_MS_B.jpg,0.165966,1.0,0.546896,0.374751,0.0849842,0.129154,0.124869,0.0848325
2542,usf3517_RMLO_L1_CL_M.jpg,0.275107,1.0,0.832988,0.16958,0.167926,0.129762,0.133152,0.0803192
1524,usf1660_RCC_L1_CL_B.jpg,0.319259,1.0,0.733578,0.440244,0.284419,0.277827,0.286256,0.231399
1844,usf1839_LMLO_L1_CL_B.jpg,0.422319,1.0,0.835219,0.378413,0.347236,0.347527,0.34072,0.287048
2751,usf4107_RMLO_L1_MS_M.jpg,0.232111,1.0,0.746334,0.168601,0.0979523,0.12009,0.110866,0.0386264
2975,mdb213_85.png,0.0541497,1.0,0.951867,0.276921,0.20312,0.248314,0.198381,0.0814174
450,usf0304_RCC_L1_MS_B.jpg,0.201264,1.0,0.764393,0.183258,0.130199,0.11809,0.120899,0.0686784
1167,usf1444_LMLO_L1_CL_B.jpg,0.189443,1.0,0.617522,0.296081,0.0857186,0.125145,0.115759,0.0612874
2129,usf3026_RMLO_L3_CL_M.jpg,0.296633,1.0,0.80968,0.149946,0.137585,0.129504,0.125166,0.0576329
3115,4161943.jpg,0.158608,1.0,0.819028,0.282482,0.220147,0.182217,0.218746,0.0619066
4,usf0003_RMLO_L1_MS_M.jpg,0.184242,1.0,0.784978,0.231993,0.152375,0.141124,0.143805,0.0985076
979,usf1257_LMLO_L1_CL_M.jpg,0.222562,1.0,0.719936,0.167023,0.0916637,0.110859,0.104817,0.0408407
1035,usf1374_RCC_L1_CL_B.jpg,0.177796,1.0,0.621589,0.243235,0.0857528,0.106452,0.11115,0.0534565
760,usf0509_LMLO_L1_CL_B.jpg,0.132418,1.0,0.772711,0.205548,0.148069,0.136965,0.142683,0.0827449
2020,usf1939_LCC_L1_CL_B.jpg,0.223772,1.0,0.776183,0.223427,0.149432,0.154109,0.146169,0.0756154
2662,usf4061_LMLO_L1_MS_B.jpg,0.204326,1.0,0.613314,0.352132,0.0898975,0.123535,0.134632,0.0803859
2506,usf3502_RCC_L2_CL_M.jpg,0.193417,1.0,0.78077,0.160723,0.133658,0.116909,0.118198,0.063649
1289,usf1513_LMLO_L1_CL_B.jpg,0.193311,1.0,0.571398,0.330123,0.0835271,0.122203,0.110718,0.0695328
1123,usf1421_RMLO_L1_MS_B.jpg,0.146432,1.0,0.524385,0.415608,0.0901285,0.135698,0.140382,0.0945757
1670,usf1748_RCC_L1_MS_B.jpg,0.189527,1.0,0.636156,0.24524,0.0834786,0.117036,0.111394,0.0550926
456,usf0305_RCC_L1_MS_B.jpg,0.191143,1.0,0.787981,0.171735,0.151592,0.122581,0.125874,0.0795694
2455,usf3475_LCC_L1_MS_M.jpg,0.196584,1.0,0.793503,0.168666,0.136482,0.120442,0.124755,0.0657927
2112,usf3022_RMLO_L1_MS_M.jpg,0.14691,1.0,0.78168,0.182597,0.143792,0.130032,0.132261,0.0740374
1629,usf1725_LCC_L1_MS_M.jpg,0.212117,1.0,0.782558,0.145721,0.109066,0.116416,0.10912,0.0333352
3436,5220515.jpg,0.241753,1.0,0.919768,0.365629,0.365547,0.318587,0.3349,0.173771
3170,5114039.jpg,0.0525634,1.0,0.737957,0.303834,0.152427,0.159457,0.24659,0.0396321
626,usf0387_RMLO_L1_MS_B.jpg,0.183827,1.0,0.794669,0.194279,0.148358,0.131053,0.131843,0.080681
929,usf1220_RCC_L1_CL_M.jpg,0.208681,1.0,0.713261,0.295604,0.117536,0.137623,0.148359,0.0774157
2531,usf3515_LCC_L1_MS_B.jpg,0.154834,1.0,0.781338,0.182635,0.135556,0.123982,0.135724,0.0669838
1051,usf1382_RCC_L1_CL_B.jpg,0.199711,1.0,0.722348,0.227773,0.102107,0.115949,0.119461,0.049531
1339,usf1543_LMLO_L1_MS_B.jpg,0.162205,1.0,0.490959,0.412808,0.0791227,0.125846,0.127164,0.0962888
2573,usf4016_LCC_L1_MS_B.jpg,0.199825,1.0,0.715467,0.180658,0.0915191,0.108304,0.115879,0.0382735
2262,usf3092_RMLO_L1_CL_B.jpg,0.207,1.0,0.794826,0.154591,0.135991,0.118324,0.114882,0.0614878
1047,usf1380_LCC_L1_MS_B.jpg,0.267505,1.0,0.742839,0.213831,0.110502,0.127384,0.132361,0.053506
298,usf0197_RMLO_L1_MS_M.jpg,0.159158,1.0,0.797039,0.188068,0.150378,0.134469,0.136604,0.07898
417,usf0280_LCC_L2_CL_B.jpg,0.218821,1.0,0.792737,0.205844,0.154851,0.13206,0.13829,0.0926975
2635,usf4046_RCC_L1_MS_B.jpg,0.20504,1.0,0.556973,0.322277,0.0754634,0.113619,0.109219,0.0721768
3165,5113732.jpg,0.057147,1.0,0.750812,0.289752,0.148609,0.184675,0.186189,0.0477189
208,usf0146_LMLO_L1_MS_M.jpg,0.53617,1.0,0.880709,0.509077,0.481281,0.467835,0.47428,0.438604
2627,usf4042_LCC_L1_MS_B.jpg,0.21409,1.0,0.708995,0.174667,0.0886104,0.106769,0.109886,0.0414962
251,usf0168_RMLO_L1_MS_M.jpg,0.242604,1.0,0.829563,0.187467,0.156305,0.127701,0.139518,0.0788882
2625,usf4041_LCC_L1_MS_M.jpg,0.237673,1.0,0.616083,0.317269,0.0856923,0.122089,0.117489,0.0769027
3386,5204043.jpg,0.123388,1.0,0.790858,0.333585,0.188241,0.24443,0.208368,0.0729929
170,usf0114_LCC_L1_MS_M.jpg,0.25392,1.0,0.769334,0.235044,0.189061,0.175847,0.178577,0.135049
1870,usf1854_LMLO_L1_CL_B.jpg,0.207735,1.0,0.711305,0.175202,0.088815,0.113122,0.106079,0.0380592
1944,usf1895_RMLO_L1_MS_M.jpg,0.209099,1.0,0.713168,0.186557,0.0970089,0.106084,0.111822,0.0440929
1052,usf1382_RMLO_L1_CL_B.jpg,0.150587,1.0,0.651625,0.289684,0.0991547,0.121517,0.129275,0.0611701
2374,usf3400_LCC_L1_CL_B.jpg,0.205869,1.0,0.794387,0.181703,0.137841,0.12458,0.125956,0.0727167
1290,usf1514_LCC_L1_MS_B.jpg,0.224312,1.0,0.790766,0.140561,0.109759,0.115596,0.110695,0.0353592
1443,usf1605_LMLO_L1_CL_B.jpg,0.217338,1.0,0.73468,0.16817,0.0938384,0.112198,0.110216,0.0366793
3175,5114547.jpg,0.105279,1.0,0.836844,0.25765,0.227747,0.194097,0.237928,0.0668984
1429,usf1596_LMLO_L1_CL_M.jpg,0.204752,1.0,0.788733,0.130466,0.133211,0.13418,0.1148,0.033229
2296,usf3139_LCC_L1_MS_M.jpg,0.199706,1.0,0.797155,0.171911,0.137198,0.119944,0.129491,0.0667559
2171,usf3045_LMLO_L1_CL_M.jpg,0.153959,1.0,0.805837,0.214693,0.155173,0.138308,0.152239,0.0886543
998,usf1302_LMLO_L1_CL_B.jpg,0.206216,1.0,0.721276,0.233085,0.0994214,0.123733,0.116124,0.0492889
739,usf0496_LCC_L1_CL_M.jpg,0.10084,1.0,0.794567,0.211787,0.166773,0.151734,0.152756,0.0965753
2973,mdb209_82.png,0.102813,1.0,0.956032,0.192384,0.216549,0.228814,0.158513,0.0721695
2965,mdb193_74.png,0.195042,0.949335,1.0,0.253236,0.197916,0.241272,0.16633,0.0780792
1422,usf1592_RCC_L1_MS_M.jpg,0.283848,1.0,0.830479,0.224669,0.215588,0.187267,0.193843,0.109336
284,usf0188_LCC_L1_MS_M.jpg,0.179861,1.0,0.74599,0.191064,0.132044,0.118625,0.130085,0.0760433
2800,usf4133_RMLO_L1_MS_M.jpg,0.486421,1.0,0.854428,0.468782,0.409599,0.420995,0.417257,0.367376
3201,5155248.jpg,0.115688,1.0,0.860344,0.297363,0.227425,0.237483,0.240949,0.0758711
775,usf1114_LCC_L1_MS_M.jpg,0.33884,1.0,0.828896,0.26178,0.266156,0.246182,0.243374,0.18031
2877,usf4188_LMLO_L1_CL_M.jpg,0.202238,1.0,0.590808,0.351101,0.0918332,0.110766,0.140591,0.0799846
20,usf0012_RCC_L1_CL_M.jpg,0.497163,1.0,0.871891,0.460542,0.44492,0.435466,0.431078,0.39701
1622,usf1721_LMLO_L2_CL_M.jpg,0.197927,1.0,0.792026,0.155298,0.115083,0.120608,0.11301,0.0375032
2269,usf3106_RCC_L1_MS_M.jpg,0.144098,1.0,0.791321,0.180452,0.147386,0.129254,0.137038,0.0728711
1370,usf1561_RMLO_L1_CL_B.jpg,0.518782,1.0,0.79822,0.576896,0.474959,0.468321,0.471276,0.434122
2648,usf4054_LCC_L1_CL_B.jpg,0.245419,1.0,0.728028,0.17474,0.102215,0.118535,0.122907,0.043774
1023,usf1368_LCC_L1_CL_B.jpg,0.217815,1.0,0.718751,0.166828,0.0925363,0.108103,0.10666,0.0408813
3142,5110547.jpg,0.0557429,1.0,0.699062,0.320277,0.14042,0.238834,0.154482,0.0434697
2634,usf4045_LMLO_L1_MS_B.jpg,0.184809,1.0,0.589521,0.356685,0.0835984,0.117888,0.137985,0.0763155
2954,mdb170_63.png,0.108448,1.0,0.990704,0.217907,0.196457,0.172124,0.21682,0.0878338
1009,usf1357_RCC_L1_MS_B.jpg,0.218892,1.0,0.667179,0.237825,0.0906747,0.110954,0.112892,0.0552185
630,usf0389_LCC_L2_MS_B.jpg,0.428652,1.0,0.848242,0.430011,0.415436,0.395147,0.401138,0.359424
3277,5181947.jpg,0.218927,1.0,0.790419,0.41784,0.29659,0.356597,0.302914,0.176294
2147,usf3031_RMLO_L1_MS_B.jpg,0.448339,1.0,0.894122,0.476353,0.442496,0.429423,0.432656,0.391226
2395,usf3421_LCC_L1_CL_B.jpg,0.450062,1.0,0.847824,0.434116,0.411038,0.400233,0.403426,0.3646
1623,usf1722_LCC_L1_CL_M.jpg,0.304564,1.0,0.825059,0.279359,0.255574,0.260296,0.246219,0.176926
832,usf1148_LCC_L1_CL_M.jpg,0.549284,1.0,0.851197,0.544261,0.504718,0.495385,0.494328,0.456212
1129,usf1426_RCC_L1_MS_B.jpg,0.203126,1.0,0.759098,0.171352,0.101833,0.120154,0.109213,0.0376025
3099,4160309.jpg,0.0849862,1.0,0.807357,0.239833,0.17246,0.167734,0.182201,0.0390729
3031,4143412.jpg,0.0725563,1.0,0.727866,0.310109,0.15307,0.139828,0.245217,0.0442018
2762,usf4113_LCC_L1_CL_M.jpg,0.426614,1.0,0.820479,0.381061,0.35917,0.345273,0.351092,0.296357
1616,usf1718_RMLO_L1_MS_B.jpg,0.190329,1.0,0.719276,0.172756,0.0937515,0.105686,0.120159,0.0368887
2948,mdb155_57.png,0.118402,1.0,0.9149,0.167882,0.20482,0.208409,0.148663,0.0866006
2581,usf4020_LCC_L1_MS_B.jpg,0.235266,1.0,0.640699,0.244805,0.0819727,0.106671,0.110924,0.0596283
2115,usf3024_RCC_L1_MS_B.jpg,0.3641,1.0,0.881617,0.314333,0.303064,0.285774,0.283145,0.228876
2600,usf4028_LMLO_L1_MS_B.jpg,0.194785,1.0,0.485943,0.295997,0.0558405,0.096257,0.101225,0.0569257
2886,usf4197_RCC_L1_CL_B.jpg,0.194915,1.0,0.706412,0.1788,0.0877646,0.104842,0.119315,0.0355251
308,usf0205_LMLO_L1_MS_M.jpg,0.114497,1.0,0.786461,0.2011,0.151359,0.138433,0.148573,0.0807888
1053,usf1384_RCC_L1_CL_B.jpg,0.424537,1.0,0.792401,0.440773,0.360237,0.345016,0.349981,0.301997
2320,usf3364_LCC_L1_CL_B.jpg,0.193225,1.0,0.777393,0.168402,0.130445,0.11805,0.1228,0.0627088
397,usf0271_LMLO_L1_CL_B.jpg,0.18912,1.0,0.754834,0.175385,0.127473,0.113394,0.126194,0.0656929
2412,usf3433_LMLO_L1_MS_B.jpg,0.204485,1.0,0.797311,0.18533,0.141028,0.122243,0.133094,0.0751282
3189,5151546.jpg,0.370102,1.0,0.979328,0.543359,0.447326,0.482387,0.444488,0.302726
1400,usf1580_LCC_L1_MS_M.jpg,0.364242,1.0,0.792612,0.398061,0.29482,0.300775,0.288059,0.235765
1456,usf1614_RCC_L1_CL_M.jpg,0.192182,1.0,0.700816,0.208053,0.0911473,0.110937,0.119485,0.0429821
730,usf0491_LMLO_L1_MS_B.jpg,0.181263,1.0,0.809936,0.203094,0.151761,0.134242,0.14202,0.0836914
1591,usf1705_RMLO_L1_CL_B.jpg,0.242369,1.0,0.773708,0.182097,0.147086,0.136262,0.147287,0.065945
2282,usf3120_RCC_L1_CL_B.jpg,0.345134,1.0,0.859174,0.360916,0.344017,0.315528,0.323967,0.272787
2664,usf4062_RMLO_L1_MS_B.jpg,0.33158,1.0,0.792414,0.281138,0.231819,0.242387,0.239657,0.175216
3018,4133740.jpg,0.0562245,1.0,0.691292,0.32713,0.126805,0.186554,0.195275,0.0408585
768,usf1109_LMLO_L1_MS_M.jpg,0.196262,1.0,0.6415,0.259063,0.0819599,0.112415,0.11672,0.0541025
249,usf0167_RMLO_L1_CL_M.jpg,0.264118,1.0,0.78865,0.185527,0.152899,0.123757,0.124297,0.0870749
242,usf0163_LMLO_L1_MS_M.jpg,0.280062,1.0,0.765582,0.153344,0.119716,0.107778,0.114949,0.0573511
